STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORATE,TURNOUT (%),TOTAL BALLOTS ISSUED
PERLIS,P. 001,PADANG BESAR,60192,76.52,46059
PERLIS,P. 002,KANGAR,74859,76.13,56989
PERLIS,P. 003,ARAU,60876,78.2,47605
KEDAH,P. 004,LANGKAWI,66777,72.07,48123
KEDAH,P. 005,JERLUN,67601,78.27,52909
KEDAH,P. 006,KUBANG PASU,108217,78.07,84486
KEDAH,P. 007,PADANG TERAP,59806,82.5,49341
KEDAH,P. 008,POKOK SENA,114838,77.48,88976
KEDAH,P. 009,ALOR SETAR,105994,73.56,77969
KEDAH,P. 010,KUALA KEDAH,132500,76.61,101510
KEDAH,P. 011,PENDANG,94547,80.79,76381
KEDAH,P. 012,JERAI,105001,79.33,83294
KEDAH,P. 013,SIK,63126,81.83,51659
KEDAH,P. 014,MERBOK,132444,78.36,103779
KEDAH,P. 015,SUNGAI PETANI,168847,77.85,131447
KEDAH,P. 016,BALING,132099,83.54,110353
KEDAH,P. 017,PADANG SERAI,133867,68.95,92302
KEDAH,P. 018,KULIM-BANDAR BAHARU,90141,79.25,71440
KELANTAN,P. 019,TUMPAT,149371,71.08,106173
KELANTAN,P. 020,PENGKALAN CHEPA,106982,73.53,78659
KELANTAN,P. 021,KOTA BHARU,115450,68.45,79028
KELANTAN,P. 022,PASIR MAS,94544,69.96,66145
KELANTAN,P. 023,RANTAU PANJANG,93248,65.85,61406
KELANTAN,P. 024,KUBANG KERIAN,113640,72.6,82502
KELANTAN,P. 025,BACHOK,123183,74.03,91192
KELANTAN,P. 026,KETEREH,85281,75.12,64060
KELANTAN,P. 027,TANAH MERAH,98782,71.34,70471
KELANTAN,P. 028,PASIR PUTEH,113070,73.03,82576
KELANTAN,P. 029,MACHANG,88825,74.33,66024
KELANTAN,P. 030,JELI,59798,73.13,43732
KELANTAN,P. 031,KUALA KRAI,92335,71.14,65684
KELANTAN,P. 032,GUA MUSANG,70254,70.18,49306
TERENGGANU,P. 033,BESUT,111650,77.46,86487
TERENGGANU,P. 034,SETIU,107294,80.18,86029
TERENGGANU,P. 035,KUALA NERUS,105952,83.56,88536
TERENGGANU,P. 036,KUALA TERENGGANU,123305,79.16,97605
TERENGGANU,P. 037,MARANG,131756,83.68,110250
TERENGGANU,P. 038,HULU TERENGGANU,87917,82.92,72905
TERENGGANU,P. 039,DUNGUN,115559,79.72,92128
TERENGGANU,P. 040,KEMAMAN,139423,82.15,114533
PULAU PINANG,P. 041,KEPALA BATAS,83081,84.44,70150
PULAU PINANG,P. 042,TASEK GELUGOR,80868,83.83,67790
PULAU PINANG,P. 043,BAGAN,89447,77.72,69516
PULAU PINANG,P. 044,PERMATANG PAUH,107186,82.34,88254
PULAU PINANG,P. 045,BUKIT MERTAJAM,120819,77.55,93695
PULAU PINANG,P. 046,BATU KAWAN,88812,78.55,69759
PULAU PINANG,P. 047,NIBONG TEBAL,100062,80.43,80477
PULAU PINANG,P. 048,BUKIT BENDERA,92521,68.53,63404
PULAU PINANG,P. 049,TANJONG,52803,72.23,38141
PULAU PINANG,P. 050,JELUTONG,93989,76.34,71753
PULAU PINANG,P. 051,BUKIT GELUGOR,117134,74.27,86996
PULAU PINANG,P. 052,BAYAN BARU,119640,76.24,91217
PULAU PINANG,P. 053,BALIK PULAU,80264,80.9,64937
PERAK,P. 054,GERIK,47565,74.34,35360
PERAK,P. 055,LENGGONG,36950,76.29,28190
PERAK,P. 056,LARUT,65719,80.29,52764
PERAK,P. 057,PARIT BUNTAR,68502,78.24,53596
PERAK,P. 058,BAGAN SERAI,80293,79.11,63519
PERAK,P. 059,BUKIT GANTANG,94253,77.17,72738
PERAK,P. 060,TAIPING,121566,70.87,86159
PERAK,P. 061,PADANG RENGAS,38686,78.36,30316
PERAK,P. 062,SUNGAI SIPUT,72395,72.83,52725
PERAK,P. 063,TAMBUN,160558,78.79,126502
PERAK,P. 064,IPOH TIMOR,118178,68.41,80845
PERAK,P. 065,IPOH BARAT,114654,69.18,79315
PERAK,P. 066,BATU GAJAH,111896,67.86,75938
PERAK,P. 067,KUALA KANGSAR,46985,77.11,36232
PERAK,P. 068,BERUAS,108249,67.88,73484
PERAK,P. 069,PARIT,47915,79.67,38173
PERAK,P. 070,KAMPAR,89894,67.19,60399
PERAK,P. 071,GOPENG,143657,73.09,105000
PERAK,P. 072,TAPAH,61946,73.51,45537
PERAK,P. 073,PASIR SALAK,74761,77.87,58218
PERAK,P. 074,LUMUT,92972,78.17,72673
PERAK,P. 075,BAGAN DATUK,58183,73.38,42694
PERAK,P. 076,TELUK INTAN,87222,74.68,65137
PERAK,P. 077,TANJONG MALIM,93873,75.56,70928
PAHANG,P. 078,CAMERON HIGHLANDS,46020,74.29,34189
PAHANG,P. 079,LIPIS,47124,77.12,36343
PAHANG,P. 080,RAUB,75064,76.06,57097
PAHANG,P. 081,JERANTUT,87051,77.86,67774
PAHANG,P. 082,INDERA MAHKOTA,120549,78.3,94392
PAHANG,P. 083,KUANTAN,87597,78.22,68515
PAHANG,P. 084,PAYA BESAR,79744,78.71,62769
PAHANG,P. 085,PEKAN,119443,79.22,94618
PAHANG,P. 086,MARAN,53128,78.42,41665
PAHANG,P. 087,KUALA KRAU,60537,80.02,48440
PAHANG,P. 088,TEMERLOH,106829,78.27,83612
PAHANG,P. 089,BENTONG,87058,77.48,67454
PAHANG,P. 090,BERA,77669,77.9,60507
PAHANG,P. 091,ROMPIN,89131,76.55,68233
SELANGOR,P. 092,SABAK BERNAM,51609,80.38,41485
SELANGOR,P. 093,SUNGAI BESAR,64382,80.14,51594
SELANGOR,P. 094,HULU SELANGOR,154317,80.41,124084
SELANGOR,P. 095,TANJONG KARANG,62194,83.4,51872
SELANGOR,P. 096,KUALA SELANGOR,102951,85.17,87685
SELANGOR,P. 097,SELAYANG,181539,80.63,146369
SELANGOR,P. 098,GOMBAK,206744,80.8,167047
SELANGOR,P. 099,AMPANG,133494,79.06,105547
SELANGOR,P. 100,PANDAN,148730,78.31,116476
SELANGOR,P. 101,HULU LANGAT,166902,82.89,138341
SELANGOR,P. 102,BANGI,303430,81.34,246795
SELANGOR,P. 103,PUCHONG,152861,80.1,122437
SELANGOR,P. 104,SUBANG,230940,77.76,179578
SELANGOR,P. 105,PETALING JAYA,195148,75.85,148021
