state,turnout_percent,registered_voters,voted
JOHOR,75.48,2616575,1975004
KEDAH,77.67,1575805,1223969
KELANTAN,71.68,1404763,1006958
MELAKA,79.25,657324,520923
NEGERI SEMBILAN,78.48,850865,667735
PAHANG,77.89,1136944,885608
PERAK,73.96,2036872,1506442
PERLIS,76.89,195927,150653
PULAU PINANG,77.94,1226626,956089
SABAH,64.39,1689387,1087825
SARAWAK,61.63,1943074,1197450
SELANGOR,80.54,3677848,2962132
TERENGGANU,81.1,922856,748473
WILAYAH PERSEKUTUAN KUALA LUMPUR,74.89,1151407,862315
WILAYAH PERSEKUTUAN LABUAN,64.66,44484,28762
WILAYAH PERSEKUTUAN PUTRAJAYA,86.21,42881,36969
